School_District,Count,Percent
City of Chicago SD 299,557,13.48
Indian Prairie CUSD 204,295,7.14
Township HSD 211,186,4.50
SD U-46,138,3.34
Aurora West USD 129,133,3.22
CHSD 94,117,2.83
CUSD 300,115,2.78
Carterville CUSD 5,113,2.73
Township HSD 214,112,2.71
Valley View CUSD 365U,111,2.69
Naperville CUSD 203,109,2.64
Springfield SD 186,100,2.42
Glenbard Twp HSD 87,97,2.35
Peoria SD 150,95,2.30
Rich Twp HSD 227,84,2.03
Marion CUSD 2,83,2.01
St Charles CUSD 303,81,1.96
CUSD 308,75,1.81
DeKalb CUSD 428,74,1.79
Dunlap CUSD 323,73,1.77
