RACE,School_District,RACE_DISTRICT,Count,PERCENT_RACE_DISTRICT,x,y
White,Abingdon-Avon CUSD 276,2,2,100,217,441
White,A-C Central CUSD 262,1,1,100,81,488
Asian,Addison SD 4,2,4,50,39,164
Asian,Adlai E Stevenson HSD 125,39,49,79.59183673,27,279
White,Albers SD 63,2,2,100,172,231
Hispanic or Latino,Alden Hebron SD 19,1,3,33.33333333,267,464
Black or African American,Alsip-Hazlgrn-Oaklwn SD 126,2,2,100,21,13
White,Altamont CUSD 10,5,5,100,49,87
White,Alton CUSD 11,7,7,100,37,178
White,AlWood CUSD 225,1,1,100,385,232
White,Amboy CUSD 272,8,8,100,458,97
White,Anna Jonesboro CHSD 81,3,3,100,210,82
Asian,Aptakisic-Tripp CCSD 102,1,1,100,1,345
Asian,Arbor Park SD 145,1,1,100,432,121
White,Arcola CUSD 306,1,1,100,290,18
Hispanic or Latino,Argenta-Oreana CUSD 1,1,1,100,226,486
Asian,Argo CHSD 217,3,12,25,397,135
White,Athens CUSD 213,1,1,100,256,139
Asian,Atwood Heights SD 125,1,1,100,40,63
White,Auburn CUSD 10,1,1,100,250,272
Hispanic or Latino,Aurora East USD 131,1,2,50,96,464
American Indian or Alaska Native,Aurora West USD 129,1,133,0.751879699,24,324
Asian,Avoca SD 37,1,1,100,208,193
Asian,Ball Chatham CUSD 5,7,27,25.92592593,447,245
Asian,Barrington CUSD 220,32,51,62.74509804,281,21
Asian,Batavia USD 101,9,67,13.43283582,374,208
White,Beecher CUSD 200U,4,4,100,94,38
White,Belleville SD 118,1,1,100,70,294
Asian,Bellwood SD 88,1,5,20,59,474
Asian,Belvidere CUSD 100,1,17,5.882352941,67,98
Asian,Bement CUSD 5,1,12,8.333333333,51,80
White,Bethalto CUSD 8,4,4,100,476,402
Asian,Betty Shabazz  International Charter School,4,4,100,385,379
White,Big Hollow SD 38,1,1,100,168,463
Black or African American,Bloom Twp HSD 206,6,14,42.85714286,469,181
Asian,Bloomington SD 87,9,34,26.47058824,307,180
Hispanic or Latino,Bond County CUSD 2,1,1,100,9,278
White,Bourbonnais SD 53,1,1,100,355,421
Asian,Braceville SD 75,1,26,3.846153846,445,79
Asian,Bradley Bourbonnais CHSD 307,11,31,35.48387097,23,328
Asian,Bremen CHSD 228,2,42,4.761904762,207,46
Asian,Brimfield CUSD 309,1,27,3.703703704,20,182
Not Reported,Brookfield Lagrange Park SD 95,1,1,100,192,488
Black or African American,Brookwood SD 167,1,1,100,279,463
White,Brown County CUSD 1,2,2,100,434,117
White,Bunker Hill CUSD 8,1,1,100,289,456
White,Burbank SD 111,2,2,100,449,61
White,Bureau Valley CUSD 340,1,1,100,453,426
Asian,Bushnell Prairie City CUSD 170,1,4,25,333,318
White,Byron CUSD 226,3,3,100,351,308
Asian,Cahokia CUSD 187,1,6,16.66666667,258,432
Asian,Cairo USD 1,1,2,50,473,105
Asian,Canton Union SD 66,2,17,11.76470588,473,441
Asian,Carbondale ESD 95,24,51,47.05882353,196,22
