Gender,Race,Ethnicity,Graduating_Class,Home City,Home School,,,Percent,GenderTotal,genderyvalue
Male,Black or African American,Not Hispanic or Latino,1989,Chicago,Carver Area High School,18,207,8.7,9,4.347826087
Male,White,Not Hispanic or Latino,1989,Aurora,Waldo Jr. High School,151,207,72.95,87,42.02898551
Male,Hispanic or Latino,Hispanic or Latino,1989,Rosemont,Maine Township West High School,5,207,2.42,4,1.93236715
Female,Asian,Not Hispanic or Latino,1989,Berkeley,Proviso West High School,30,207,14.49,11,5.314009662
Female,American Indian or Alaska Native,Not Hispanic or Latino,1989,Bloomingdale,Lake Park High School-East,3,207,1.45,1,0.483091787
Female,Black or African American,Not Hispanic or Latino,1990,Aurora,West Aurora High School,18,195,9.23,6,3.076923077
Male,White,Not Hispanic or Latino,1990,Sterling,Sterling High School,132,195,67.69,68,34.87179487
Male,Asian,Not Hispanic or Latino,1990,Mattoon,Mattoon High School,41,195,21.03,26,13.33333333
Male,Hispanic or Latino,Hispanic or Latino,1990,Arlington Heights,Buffalo Grove High School,3,195,1.54,3,1.538461538
Male,American Indian or Alaska Native,Not Hispanic or Latino,1990,Palos Hills,Amos Alonzo Stagg High School,1,195,0.51,1,0.512820513
NULL,White,Not Hispanic or Latino,1991,Taylorville,Taylorville Junior High School,103,152,67.76,7,4.605263158
Female,Black or African American,Not Hispanic or Latino,1991,Canton,Canton High School,14,152,9.21,5,3.289473684
Male,Asian,Not Hispanic or Latino,1991,Aurora,Simmons Jr. High,32,152,21.05,22,14.47368421
Male,Hispanic or Latino,Hispanic or Latino,1991,Aledo,Aledo High School,3,152,1.97,2,1.315789474
Male,White,Not Hispanic or Latino,1992,Westmont,Westmont High School,125,186,67.2,72,38.70967742
Male,Asian,Not Hispanic or Latino,1992,Downers Grove,O'Neill Junior High School,50,186,26.88,34,18.27956989
Male,Black or African American,Not Hispanic or Latino,1992,Chicago,LINCOLN PARK HIGH SCHOOL,9,186,4.84,7,3.76344086
Female,Hispanic or Latino,Hispanic or Latino,1992,St Charles,St. Charles High School,2,186,1.08,1,0.537634409
Male,White,Not Hispanic or Latino,1993,Troy,Triad High School,150,245,61.22,86,35.10204082
Male,Asian,Not Hispanic or Latino,1993,Willowbrook,Hinsdale South High School,69,245,28.16,40,16.32653061
Female,Black or African American,Not Hispanic or Latino,1993,Chicago,Morgan Park High School,13,245,5.31,10,4.081632653
Female,Not Reported,Not Hispanic or Latino,1993,Wheaton,St. Francis Preparatory High School,4,245,1.63,2,0.816326531
Female,Hispanic or Latino,Hispanic or Latino,1993,Naperville,Waubonsie Valley High School,9,245,3.67,6,2.448979592
Male,White,Not Hispanic or Latino,1994,Morris,Morris Community High School,129,229,56.33,68,29.69432314
Female,Asian,Not Hispanic or Latino,1994,Warrenville,Wheaton Warrenville Middle School,73,229,31.88,25,10.91703057
Male,Hispanic or Latino,Hispanic or Latino,1994,West Brooklyn,Mendota High School,10,229,4.37,5,2.183406114
Female,Not Reported,Not Hispanic or Latino,1994,Crescent City,Iroquois West High School,3,229,1.31,3,1.310043668
Female,Black or African American,Not Hispanic or Latino,1994,Rockford,Batavia High School,13,229,5.68,8,3.493449782
Female,Two or More Races,Not Hispanic or Latino,1994,Beach Park,Waukegan West High School,1,229,0.44,1,0.436681223
Male,Black or African American,Not Hispanic or Latino,1995,Chicago,Providence St. Mel,17,196,8.67,8,4.081632653
Female,Hispanic or Latino,Hispanic or Latino,1995,Chicago,Kenwood Academy,14,196,7.14,9,4.591836735
Male,White,Not Hispanic or Latino,1995,Sycamore,Sycamore Senior High School,107,196,54.59,65,33.16326531
Female,Asian,Not Hispanic or Latino,1995,Woodridge,Downers Grove North High School,54,196,27.55,24,12.24489796
Male,Not Reported,Not Hispanic or Latino,1995,Hinsdale,Downers Grove North High School,4,196,2.04,3,1.530612245
Female,Asian,Not Hispanic or Latino,1996,Mattoon,Mattoon Senior High School,58,220,26.36,22,10
Male,Black or African American,Not Hispanic or Latino,1996,Bolingbrook,Bolingbrook High School,27,220,12.27,11,5
Female,White,Not Hispanic or Latino,1996,St Charles,St. Charles High School,116,220,52.73,49,22.27272727
